goodsNo,goodsName,brandName,layer,collect_rank,review_count,grade_mean,text_len_mean,photo_rate,like_mean,top_proba_mean,spread_score,sticky_score,irritate_score,first_review_rate,price,saleRate,reviewScore
2637403,어반쉐이드 커버앤핏 선쿠션 SPF50+ PA++++ 14g,듀이트리,A_top50,26,453,4.7218543046357615,56.18543046357616,0.6490066225165563,0.04856512141280353,0.5667794101737843,3.1479028697571745,3.0,3.0,0.7836644591611479,13500,44,94
2637406,어반쉐이드 쿨카밍 선스틱 SPF50+ PA++++ 20g,듀이트리,A_top50,6,1000,4.832,45.655,0.568,0.031,0.5683354548373605,3.159,3.106,3.124,0.718,11900,50,96
2664760,올 데이 에어리 선크림 SPF50+ PA++++,클레어스,C_potential,355,179,4.787709497206704,53.69832402234637,0.441340782122905,0.1005586592178771,0.4848355658819468,3.022346368715084,3.022346368715084,3.022346368715084,0.9106145251396648,17500,10,96
2782655,[무신사단독] 1025 독도 선크림 50ml (+클렌저 40ml),라운드랩,A_top50,5,1000,4.898,65.548,0.575,0.053,0.5454449123062105,3.364,3.268,3.304,0.754,14900,40,98
2890758,가지 클리어링 선 크림 50ml,파파레서피,A_top50,4,1000,4.875,41.805,0.73,0.04,0.5741412235961273,3.303,3.206,3.256,0.702,22500,10,98
2959830,[SET] 다이브인 무기자차 마일드 선크림 60ml x 2개,토리든,A_top50,29,888,4.876126126126126,45.064189189189186,0.4605855855855856,0.04054054054054054,0.5368594368204374,3.0945945945945947,3.078828828828829,3.0833333333333335,0.8682432432432432,43000,14,98
2964903,히노키 선스크린 SPF 50+ PA+++,레이지소사이어티,B_oliveyoung_cross,366,52,4.884615384615385,45.40384615384615,0.5,0.11538461538461539,0.4876541895731214,3.0,3.0,3.0,1.0,11920,20,98
3004059,[15ml 추가증정] 베리 수분 선크림 50ml SPF50+ PA++++,스킨푸드,A_top50,47,728,4.8282967032967035,51.472527472527474,0.4519230769230769,0.03296703296703297,0.5019528565476155,3.0618131868131866,3.041208791208791,3.0494505494505493,0.8983516483516484,22800,5,96
3004075,베리 생기 선크림 50ml SPF50+ PA++++,스킨푸드,C_potential,392,75,4.8533333333333335,53.92,0.38666666666666666,0.02666666666666667,0.4960738535315921,3.1333333333333333,3.08,3.1333333333333333,0.9466666666666667,16560,31,98
3049956,[2PACK]올 데이 에어리 선크림 50ml,클레어스,C_potential,394,76,4.855263157894737,53.11842105263158,0.40789473684210525,0.0,0.4805970665948984,3.0921052631578947,3.0789473684210527,3.1052631578947367,0.9078947368421053,31900,18,98
