goodsNo,goodsName,brandName,price,saleRate,reviewCount,reviewScore,collect_rank,layer
5753893,워터풀 톤업 선 쿠션 15g 세트 (본품+리필),달바,41900,46,6,100,361,B_oliveyoung_cross
4248966,순한 수딩 선젤+,트루스오브뷰티,20400,15,87,98,363,C_potential
4169066,알로에 리바이탈라이징 수딩젤 300mL 2개,이니스프리,15000,25,58,96,365,C_potential
2964903,히노키 선스크린 SPF 50+ PA+++,레이지소사이어티,11920,20,71,98,366,B_oliveyoung_cross
5877835,히알루론산 데일리 선크림 50ml SPF50+ PA++++,부쉬맨,15000,32,55,100,367,C_potential
4515989,다이나믹 선크림 50ml,블루반,16100,30,57,98,371,C_potential
5876001,[SET] 구스베리 글로우업 선세럼 2개 세트,바이쥬씨,31900,36,59,100,374,C_potential
2015301,마인드풀 버블 비건 클렌저,체이싱래빗,13900,27,63,98,378,C_potential
3004075,베리 생기 선크림 50ml SPF50+ PA++++,스킨푸드,16560,31,91,98,392,C_potential
3049956,[2PACK]올 데이 에어리 선크림 50ml,클레어스,31900,18,107,98,394,C_potential
1223310,선샤인 유브이 솔루션 크림 SPF50+ PA+++ 70ml,엠도씨,18000,10,56,98,395,B_oliveyoung_cross
3854797,맑은 어성초 진정 수분 톤업 선크림 50ml,구달,19800,10,962,96,420,C_potential
3262527,인텐시브 롱래스팅 선스크린 EX SPF 50+ PA4+ 60mL,이니스프리,16800,30,62,100,437,C_potential
5754011,워터풀 밸런싱 선크림 50ml+50ml,달바,32900,52,5,100,444,B_oliveyoung_cross
6018424,[1+1용량] 옴므 UV 디펜스 선크림 30ml (+UV 디펜스 선크림 30ml),비오템,64800,10,0,0,448,B_oliveyoung_cross
3370947,"데일리 유브이 쉴드 이지 빅 골프 패치 5회분, 2개",다슈,29600,59,18,98,490,B_oliveyoung_cross
4447047,에어핏 선 피니싱 스틱 01 퓨어 바이올렛 (본품+키링),프레비츠,16000,50,109,96,500,C_potential
2296955,데일리 유브이 컷 골프 패치,다슈,13800,8,17,100,523,B_oliveyoung_cross
5753896,워터풀 프레쉬 선쿠션 25g 세트 (본품+리필),달바,38900,47,6,100,541,B_oliveyoung_cross
3975535,인텐시브 레져 선스틱 SPF50+ PA4+ 18g 2개,이니스프리,24000,50,59,98,547,C_potential
1223308,선샤인 유브이 솔루션 스틱 SPF50+ PA++++ 20g,엠도씨,19800,10,43,96,549,B_oliveyoung_cross
5282323,UV 디펜스 선스틱 20g,비오템,46800,10,4,100,562,B_oliveyoung_cross
3165162,데일리 선크림 50ml 2개,바세린,16200,42,89,96,574,C_potential
2600605,선 버디 헬프 미 선 스틱 10g 2ea,선더즈매터,28800,10,52,98,576,C_potential
2244406,"에코 선 모이스처라이저 100g[ 대용량 l 백탁,눈시림NO ]",닥터바이오,16910,15,86,98,578,B_oliveyoung_cross
2589134,래디언씨 선크림 SPF 50+ PA++++ 50ml,라네즈,27000,10,57,98,587,B_oliveyoung_cross
1484666,오리진 세이프 마일드 선블록 SPF50+/PA++++ 50ml,에이트루,11900,62,51,98,588,C_potential
2034681,데일리 화이트닝 수분진정 선크림 (SPF50+/PA++++) 50ml,브리올옴므,17900,0,9,94,610,B_oliveyoung_cross
3441327,"에어쿨 무기자차 선크림 50ml[백탁,눈시림NO ]",닥터바이오,14920,25,8,98,621,B_oliveyoung_cross
3388981,히노키 선스크린 10ml SPF 50+ PA+++,레이지소사이어티,5000,0,23,92,622,B_oliveyoung_cross
4268744,마일드 워터리 썬스크린,밈즈,15400,30,389,98,630,C_potential
3318558,데일리 유브이 쉴드 이지 빅 골프 패치 (5회분),다슈,15800,56,22,94,640,B_oliveyoung_cross
1890474,유브이 디펜스 미 카밍 선스틱 20g,메이크프렘,20800,13,88,96,654,C_potential
5754008,워터풀 마일드 선크림 50ml,달바,21900,36,0,0,656,B_oliveyoung_cross
5322885,맨 컴파운드 선스크린 SPF 50+/PA++++ 50ml x2 (슬램덩크 키링 증정),아이오페,56000,0,5,100,660,B_oliveyoung_cross
4448777,B3 나이아신 선크림 50ml  + [증정] H패치 18매,티암,16800,20,113,100,699,C_potential
2413758,클래식 골프 선크림 SPF50+ PA++++ 2종 기획 세트,스콧해미쉬,40200,33,2,100,705,B_oliveyoung_cross
2413759,클래식 골프 선스틱 SPF50+ PA++++ 2종 기획 세트,스콧해미쉬,40200,33,6,94,720,B_oliveyoung_cross
2397669,클래식 골프 선크림 SPF50+PA++++ 40ML,스콧해미쉬,20400,32,19,98,721,B_oliveyoung_cross
2418676,선 프로젝트 워터 선크림 50ml,땡큐파머,24000,0,0,0,765,B_oliveyoung_cross
2397667,클래식 골프 선스틱 SPF50+PA++++ 18.5g,스콧해미쉬,20400,32,15,100,766,B_oliveyoung_cross
4154173,퍼펙트 프루프 선 스틱 18.5g,무슈제이,19900,29,1,100,789,B_oliveyoung_cross
1537344,하이드로 선 에센스  50ml,무슈제이,21000,19,63,98,795,B_oliveyoung_cross
1207369,UV쉴드 선크림 50ml 남자선크림,미프,16900,23,4,100,849,B_oliveyoung_cross
2511690,선 프로젝트 스킨 릴리프 선 크림 50ml,땡큐파머,27000,0,3,100,875,B_oliveyoung_cross
2250148,[데일리/2pack] 썬 모이스처라이저 50ml+50ml (SPF50+ PA+++),나인위시스,29800,32,1,60,876,B_oliveyoung_cross
5753891,워터풀 톤업 선 쿠션 15g,달바,29900,29,1,100,882,B_oliveyoung_cross
4687042,[트러블/진정] 더마틱 시카 썬스크린 50ml (SPF50+ PA++++),나인위시스,16800,30,0,0,902,B_oliveyoung_cross
3345832,퍼트 온 선 블록 90ml,선더즈매터,31500,10,55,100,911,C_potential
3190598,UV쉴드 선크림 50ml 남자선크림 2개입,미프,27900,37,3,100,912,B_oliveyoung_cross
4687073,[트러블/2PACK] 더마틱 시카 썬스크린 50ml+50ml,나인위시스,32600,32,0,0,941,B_oliveyoung_cross
2511640,선 프로젝트 라이트 선 에센스 120ml (대용량),땡큐파머,36000,0,0,0,958,B_oliveyoung_cross
3370934,데일리 유브이 쉴드 이지 빅 골프 패치 5회분 + 라이트핏 선젤 50ml,다슈,25700,58,2,100,1008,B_oliveyoung_cross
5754010,워터풀 밸런싱 선크림 50ml,달바,20900,39,0,0,1025,B_oliveyoung_cross
2462795,클래식 골프 선크림&선스틱 2종 기획세트,스콧해미쉬,40200,33,4,100,1077,B_oliveyoung_cross
5286979,선 프로젝트 쉬머 선 에센스 40ml,땡큐파머,29000,0,0,0,1137,B_oliveyoung_cross
5286978,선 프로젝트 라이트 선 에센스 40ml,땡큐파머,29000,0,0,0,1138,B_oliveyoung_cross
